科目コード,項目,内容
I4934000,related_items,なし
I4934000,prerequisites,なし
I4720000,related_items,I226（コンピュータネットワーク特論）の内容を修得していることが望ましい。
I4720000,prerequisites,なし
I1111000,related_items,なし
I1111000,prerequisites,なし
I2331000,related_items,なし
I2331000,prerequisites,I440（高機能オペレーティングシステム）の単位修得者は履修不可。
I2351000,related_items,なし
I2351000,prerequisites,なし
I2262000,related_items,I212（情報解析学特論）の講義内容を理解していることが望ましい。また、I450（ネットワーク設計演習）を履修するためには本科目の知識が必要である。
I2262000,prerequisites,なし
I242EJ00,related_items,令和8年度開講予定
I242EJ00,prerequisites,令和8年度開講予定
I241EJ00,related_items,令和8年度開講予定
I241EJ00,prerequisites,令和8年度開講予定
I2141000,related_items,なし
I2141000,prerequisites,なし
I4274000,related_items,I212（情報解析学特論）、I213（離散信号処理特論）
I4274000,prerequisites,微分積分と線形代数の基礎知識を前提とする。
I4780000,related_items,なし
I4780000,prerequisites,相当する知識・経験があるとベターであるが、それよりはむしろ、この講義へのモチベーションがあることが重要。
I4831000,related_items,I116 プログラミング基礎、I219 ソフトウェア設計論、I226 コンピュータネットワーク特論、I233 オペレーティングシステム特論、I450 ネットワーク設計演習、I481 高信頼組込みシステム開発演習、I482 高信頼組込みシステム開発プロセス設計
I4831000,prerequisites,I116プログラミング基礎を履修済み、もしくは相当する知識を有すること。また、I226コンピュータネットワーク特論、I233オペレーティングシステムに相当する知識を有することが望ましい。なお、実習機材の都合上、履修可能人数には上限がある。
I4430000,related_items,I211　数理論理学I237 形式言語とオートマトン
I4430000,prerequisites,I211（数理論理学）とI237(形式言語とオートマトン)の知識を前提とする。
I2192000,related_items,I116 プログラミング基礎
I2192000,prerequisites,プログラミングについて一通りの知識と経験を有すること。
I4680000,related_items,なし
I4680000,prerequisites,学部程度の応用数学の知識(微分積分や線形代数のオペレーション)は前提とする。
I1151000,related_items,なし
I1151000,prerequisites,なし
I1191000,related_items,K236　データ駆動型AI基礎、K417　共創データ駆動型AI、K619　共創AI特論、I114 基礎情報数学
I1191000,prerequisites,なし
I4945000,related_items,I119 データ分析のための情報統計学
I4945000,prerequisites,JAIST×Humanコースの学生であること。
I4505000,related_items,I226 コンピュータネットワーク特論I441 高機能コンピュータネットワーク
I4505000,prerequisites,I226コンピュータネットワーク特論の知識を前提とする。なお、実習環境の都合上、履修可能な人数は限られる。
I4733000,related_items,なし
I4733000,prerequisites,電子回路設計の知識が無くても理解できるように配慮して講義は進めるが、順序回路・組み合わせ回路の基礎、コンパイラの基礎、計算機の基礎等を修得しているのが望ましい。
I4970000,related_items,令和8年度開講予定
I4970000,prerequisites,令和8年度開講予定
I4960000,related_items,令和8年度開講予定
I4960000,prerequisites,令和8年度開講予定
I1162000,related_items,I111 アルゴリズムとデータ構造I112 計算機システムとAI基礎
I1162000,prerequisites,学修意欲の継続
I4670000,related_items,I115（デジタル論理と計算機構成）、I218（計算機アーキテクチャ特論）
I4670000,prerequisites,I115（デジタル論理と計算機構成）とI218（計算機アーキテクチャ特論）の知識を前提とする。実習環境の都合上、履修可能な人数は限られる。
I4160000,related_items,I115 デジタル論理と計算機構成I218 計算機アーキテクチャ特論
I4160000,prerequisites,学部相当の計算機システムの基礎知識があり、I218（計算機アーキテクチャ特論）を履修済みか相当の知識を有している事が望ましい。実習を含むので、CまたはFortranなどで簡単なプログラムが作成できること。
I4894000,related_items,学部の数学の復習としてI114 基礎情報数学以下は関連はあるが、本講義を理解するのにそれほど必要はない。ただし公開鍵暗号、署名とは何か概念を理解しているとわかりやすい。また、有限体や剰余類環（群）Znの演算や性質、またベクトル空間の性質は簡単に講義で学ぶが予習してあると内容を理解しやすい。I240 暗号理論I465S 情報セキュリティ運用リテラシーI486S 秘密計算
I4894000,prerequisites,論理的な考察力と理解力。大学の学部程度の数学の知識（特に線形代数）があれば望ましい。
I4664000,related_items,なし
I4664000,prerequisites,なし
I1141000,related_items,I120 基礎論理数学
I1141000,prerequisites,なし
I1201000,related_items,なし
I1201000,prerequisites,なし
I4710000,related_items,なし
I4710000,prerequisites,「I219 ソフトウェア設計論」を履修しているか、同等の知識があること.
I2371000,related_items,I211（数理論理学）、I443（ソフトウェア検証論）
I2371000,prerequisites,初回の講義中に簡単に復習するが、基本的にはI120（基礎論理数学）相当の知識を前提とする（I120自体は未履修であってもよい）。
I2324000,related_items,I437 符号理論
I2324000,prerequisites,なし
I465S200,related_items,I240「暗号理論」I466S 「最新情報セキュリティ理論と応用」I486S 「秘密計算」I489「公開鍵暗号理論」関連するが本講義を理解するには特に必要ない。
I465S200,prerequisites,特になし。情報セキュリティ学修プログラム履修者には必修科目。
I2121000,related_items,I114（基礎情報数学）
I2121000,prerequisites,I114（基礎情報数学）の知識を有していることが望ましい。
I2114000,related_items,I217（関数プログラミング）、I237（形式言語とオートマトン）
I2114000,prerequisites,初回の講義中に簡単に復習するが、基本的にはI120（基礎論理数学）相当の知識を前提とする（I120自体は未履修であってもよい）。
I2400000,related_items,I486S「秘密計算」I489「公開鍵暗号理論」I465S「情報セキュリティ運用リテラシー」I466S「最新情報セキュリティ理論と応用」
I2400000,prerequisites,論理的な考察力と理解力。大学の学部程度の数学の知識があれば望ましい。
I466S400,related_items,なし
I466S400,prerequisites,なし
I2392000,related_items,I223 自然言語処理論I235 ゲーム情報学特論I658 Fundamentals of Sequence Modeling
I2392000,prerequisites,I114 基礎情報数学、I119 データ分析のための情報統計学、I120 基礎論理数学に相当する知識
I4955000,related_items,I239 機械学習I491 機械学習特論
I4955000,prerequisites,JAIST×Humanコースの学生であること。Python でのプログラミング経験を有すること。
I438EJ00,related_items,なし
I438EJ00,prerequisites,なし
I4192000,related_items,I212（情報解析学特論）およびI213（離散信号処理特論）
I4192000,prerequisites,I212（情報解析学特論）、I213（離散信号処理特論）の知識を前提とする。ただし、これらを受講していることは必須ではない。
I4990000,related_items,令和8年度開講予定
I4990000,prerequisites,令和8年度開講予定
I4980000,related_items,令和8年度開講予定
I4980000,prerequisites,令和8年度開講予定
I486S000,related_items,I240「暗号理論」I465S「情報セキュリティ運用リテラシー」I466S「最新情報セキュリティ理論と応用」I489「公開鍵暗号理論」関連はあるが、本講義を理解するには特に必要ない。
I486S000,prerequisites,"論理的な考察力と理解力。学部程度の数学の知識があれば望ましいが、本講義では有限体の四則演算とビットごとのand, or, xor程度のものしか使わない。ただ背景をより理解するためには、代数学の基本定理、Shamirの秘密分散、Lagrangeの多項式補間、Reed-Solomon符号や、ビザンチン合意問題などを予め調べておくと面白さが増す。情報セキュリティ学修プログラム履修者には必修科目。"
I2254000,related_items,I114（基礎情報数学）、I119（データ分析のための情報統計学）、I212（情報解析学特論）、I213（離散信号処理特論）
I2254000,prerequisites,I114（基礎情報数学）、I119（データ分析のための情報統計学）の知識を前提とする。
I2234000,related_items,I239 機械学習I660 自然言語処理特論
I2234000,prerequisites,なし
I2182000,related_items,I115　デジタル論理と計算機構成
I2182000,prerequisites,計算機の構成に関する基礎知識を有するか、I115（デジタル論理と計算機構成）相当の知識を持っていることが望ましい。
I1121000,related_items,I226 コンピュータネットワーク特論I239 機械学習M222 物質計算科学特論
I1121000,prerequisites,なし
I2384000,related_items,なし
I2384000,prerequisites,なし
I4110000,related_items,I212 情報解析学特論、I213 離散信号処理特論、I225 統計的信号処理特論
I4110000,prerequisites,一部を除いて日本語により講義を行う。
I4484000,related_items,なし
I4484000,prerequisites,なし
I2172000,related_items,I120 基礎論理数学、I111 アルゴリズムとデータ構造
I2172000,prerequisites,学修意欲の継続
I4320000,related_items,I211数理論理学
I4320000,prerequisites,I211数理論理学の知識を前提とする。
I2132000,related_items,I114（基礎情報数学）、I212（情報解析学特論）
I2132000,prerequisites,微分積分と線形代数の基礎知識を前提とする。
I4392000,related_items,I114基礎情報数学、I212 情報解析学特論、I213 離散信号処理特論、I225 統計的信号処理特論、I411認識処理工学特論
I4392000,prerequisites,次のいずれか1科目以上の単位を修得していること。I212（情報解析学特論）、I213（離散信号処理特論）、I225（統計的信号処理特論）
I4405000,related_items,I233　オペレーティングシステム特論
I4405000,prerequisites,I233（オペレーティングシステム特論）の知識を前提とする。
I4412000,related_items,I226（コンピュータネットワーク特論）相当のコンピュータネットワーク基礎知識を有すること。また、I233（オペレーティングシステム特論）の履修、あるいはC言語あるいはPerl言語等によるシステムプログラミングの経験が望ましい。
I4412000,prerequisites,なし
I4814000,related_items,任意の言語でプログラムが理解/作成できることI217　関数プログラミングI219　ソフトウェア設計論
I4814000,prerequisites,本科目と「I482　高信頼組込みシステム開発プロセス設計」は継続しての履修を必要とする。片方のみの履修は不可。講義は日本語のみで実施するため、外国人の場合は「ビジネス日本語能力テスト（BJT）」において、J2レベル以上であること。
I4825000,related_items,任意の言語でプログラムが理解/作成できることI217　関数プログラミングI219　ソフトウェア設計論
I4825000,prerequisites,本科目と「I481　高信頼組込みシステム開発演習」は継続しての履修を必要とする。片方のみの履修は不可。講義は日本語のみで実施するため、外国人の場合は「ビジネス日本語能力テスト（BJT）」において、J2レベル以上であること。
